
Name,Date,Price,ageMin,ageMax,Categories,Venue,Description,Status
Programming in C++: Level I (7-10),05/20/2019,1912,13,15,Educational,Portland State University,"Use the open-source version of C++ to program games, solve puzzles and create text art. Exchange information to and from files on the hard drive, use data types and control repetition. Practice debugging and troubleshooting to make programs and games more sophisticated and interactive.",Confirmed - Final
Virtual Reality Worlds (9-12),05/20/2019,229,14,16,Educational,Portland State University,"Imagine, design and build a scene in Virtual Reality. Use digital 3D models, scripts, images, lights and cameras to assemble a world of your own inside a computer -- and then experience it first-hand through your own Google Cardboard VR viewer!",Confirmed - Final
Blender: Intro to 3D Modeling (6-8),05/20/2019,189,12,14,Educational,Portland State University,"Create game-ready 3D models and environments using Blender, a free, open-source, 3D modeling and animation tool. Imagine and sketch your ideal hangout space complete with furniture, characters or pets. Use polygon modeling tools to bring depth to your design, work with textures and texture maps to make your object look true to life and light your scene to maximize its impact on the viewer.",Confirmed - Final
Artificial Intelligence Academy (10-12),05/20/2019,11212,11,16,Educational,Portland State University,Learn how to develop machine learning systems in this hands-on Python class using Jupyter Notebook and Raspberry Pi. Explore computer vision and artificial intelligence in cases from cancer cells to autonomous vehicles. Use Python to analyze data and graph results.,Confirmed - Final
Pixel Art: Intro to Sprites (12-9),05/20/2019,179,15,16,Educational,Portland State University,"Explore basic animation theory and learn to animate walk cycles, jumps and action moves. Experiment with different perspective projections and methods of spriting to create a small portfolio of images that can be used in your own games.",Confirmed - Final
Drone Technology (6-9),05/20/2019,2312,12,14,Educational,University of Portland,"Take to the skies and learn to build and pilot a drone. Become familiar with drone ethics and laws and learn how drones are utilized in the real world--from wedding photography to emergency rescues. Immerse yourself in engineering, flight skills and aerial photography.",Confirmed - Final
Programming in Scratch 3.0 (3-12),05/20/2019,1812,8,16,Educational,University of Portland,"Build interactive cartoons, greeting cards and even basic games using Scratch, a free drag-and-drop programming tool. Dream up, design and program scenes like a zoo full of animals or a race track with your choice of cars. Add your own pictures and sounds to the project you design.",Confirmed - Final
Musical Electronics with Arduino (9-12),05/20/2019,2212,15,16,Educational,University of Portland,"Using an Arduino micro-controller, write creative code to control lights and speakers, triggered by sensors, buttons, or movement. Learn electronic fundamentals and explore how programming interfaces with the world. Create a laser harp, synthesizer, or an electronic ""disco ball."" Your project is yours to keep!",Confirmed - Final
App Inventor (6-9),05/20/2019,1912,15,16,Educational,University of Portland,Develop your own Android app with MIT's App Inventor. Create interactive games with pictures and sounds. Learn event-driven and object-oriented programming concepts using this free drag-and-drop web-based program.,Confirmed - Final
Programming in C: Level I (9-12),05/20/2019,1912,14,16,Educational,Saturday Academy - Beaverton,"Write a variety of computer programs. Explore data types, input/output statements, conditional statements, arrays, structures and file manipulation. Get ready for more advanced programming languages like C++, JavaTM and Perl.",Confirmed - Final
GameMaker Studio (6-9),05/20/2019,1912,12,14,Educational,Saturday Academy - Beaverton,"Design and modify your own 2D PC game in the style of classics like Zelda or Mario. Dive into character controls and level design with GameMaker Studio?s visual and intuitive drag-and-drop system. Control characters, objects and outcomes. Add features to increase the difficulty level.",Confirmed - Final
Build A Computer (6-8),05/20/2019,1912,12,14,Educational,Saturday Academy - Beaverton,"Learn the basic hardware components of a computer to allow for the support of software. Install an operating system, remove viruses and prevent security issues. Build the best computer in a friendly competition for the final class.",Confirmed - Final
CyberSecurity Training (6-8),05/20/2019,1912,12,14,Educational,Saturday Academy - Beaverton,"Develop your security awareness by recognizing phishing and sniffing, and understanding password-cracking techniques. Learn to identify malicious websites and practice security concepts in the form of fun-filled games.",Confirmed - Final
Programming in Python® (7-10),05/20/2019,2112,13,15,Educational,Saturday Academy - Beaverton,"Learn Python, a powerful, widely used, and versatile programming language, in this fun, hands-on class for new programmers. Design games, analyze interesting data, and explore mathematical concepts. Topics include data types and structures, control flow, functions, input and output, object-oriented and event-driven programming.",Confirmed - Final
Game Creation with Unity & C# (9-12),05/20/2019,1912,14,16,Educational,Saturday Academy - Beaverton,"Ever wonder how video games are made? Experience the process yourself with the Unity Game Engine. Start by setting up a scene with Unity's drag-and-drop component system, then learn how to write simple yet flexible scripts that will make your game unique.",Confirmed - Final
Programming in Scratch 3.0 (3-12),05/20/2019,1812,8,16,Educational,Saturday Academy - Beaverton,"Build interactive cartoons, greeting cards and even basic games using Scratch, a free drag-and-drop programming tool. Dream up, design and program scenes like a zoo full of animals or a race track with your choice of cars. Add your own pictures and sounds to the project you design.",Confirmed - Final
Programming in C++: Level I (7-10),05/20/2019,1912,13,15,Educational,Saturday Academy - Beaverton,"Use the open-source version of C++ to program games, solve puzzles and create text art. Exchange information to and from files on the hard drive, use data types and control repetition. Practice debugging and troubleshooting to make programs and games more sophisticated and interactive.",Confirmed - Final
Programming in Python for Beginners (11-7),05/20/2019,189,15,16,Educational,Saturday Academy - Beaverton,"Learn Python--a powerful, widely used, and versatile programming language--in this fun, hands-on class for new programmers. Design games like a MadLib, analyze interesting data, and explore mathematical concepts.",Confirmed - Final
Programming in Python® (7-10),05/20/2019,2112,13,15,Educational,Saturday Academy - Beaverton,"Learn Python, a powerful, widely used, and versatile programming language, in this fun, hands-on class for new programmers. Design games, analyze interesting data, and explore mathematical concepts. Topics include data types and structures, control flow, functions, input and output, object-oriented and event-driven programming.",Confirmed - Final
Programming in Python for Beginners (11-7),05/20/2019,189,15,16,Educational,Saturday Academy - Beaverton,"Learn Python--a powerful, widely used, and versatile programming language--in this fun, hands-on class for new programmers. Design games like a MadLib, analyze interesting data, and explore mathematical concepts.",Confirmed - Final
Programming in Java?: Level I (6-9),05/20/2019,199,12,14,Educational,Saturday Academy - Beaverton,"Learn how to create fun, simple programs using basic concepts of object-oriented programming, including how to define a class, create an object and interact with its methods to solve a common problem.",Confirmed - Final
Programming in Python for Beginners (11-7),05/20/2019,189,15,16,Educational,Saturday Academy - Beaverton,"Learn Python--a powerful, widely used, and versatile programming language--in this fun, hands-on class for new programmers. Design games like a MadLib, analyze interesting data, and explore mathematical concepts.",Confirmed - Final
Programming in Scratch 3.0 (3-12),05/20/2019,1812,8,16,Educational,German International School,"Build interactive cartoons, greeting cards and even basic games using Scratch, a free drag-and-drop programming tool. Dream up, design and program scenes like a zoo full of animals or a race track with your choice of cars. Add your own pictures and sounds to the project you design.",Confirmed - Final
App Inventor (6-9),05/20/2019,1912,12,14,Educational,German International School,Develop your own Android app with MIT's App Inventor. Create interactive games with pictures and sounds. Learn event-driven and object-oriented programming concepts using this free drag-and-drop web-based program.,Confirmed - Final
Game Creation with Unity & C# (9-12),05/20/2019,1912,14,16,Educational,Portland Community College - Southeast Campus,"Ever wonder how video games are made? Experience the process yourself with the Unity Game Engine. Start by setting up a scene with Unity's drag-and-drop component system, then learn how to write simple yet flexible scripts that will make your game unique.",Confirmed - Final
Programming in C: Level I (7-10),05/20/2019,1912,13,15,Educational,Portland Community College - Southeast Campus,"Write a variety of computer programs. Explore data types, input/output statements, conditional statements, arrays, structures and file manipulation. Get ready for more advanced programming languages like C++ and Java.",Confirmed - Final
Programming in Java?: Level I (6-9),05/20/2019,199,12,14,Educational,Portland Community College - Southeast Campus,"Learn how to create fun, simple programs using basic concepts of object-oriented programming, including how to define a class, create an object and interact with its methods to solve a common problem.",Confirmed - Final
Programming in Python® (7-10),05/20/2019,2112,14,16,Educational,Portland Community College - Southeast Campus,"Learn Python, a powerful, widely used, and versatile programming language, in this fun, hands-on class for new programmers. Design games, analyze interesting data, and explore mathematical concepts. Topics include data types and structures, control flow, functions, input and output, object-oriented and event-driven programming.",Confirmed - Final
=======
Name,Date,Tuition,ageMin,ageMax,Description,Categories,Venue,Status
Radio Broadcasting (9-12),06/01/2019,1912,14,18,"Spend a week on KBPS?s radio station as you learn how to produce sound bites, pick music, conduct interviews and make announcements. Learn the fundamentals of announcing, writing and production in a real radio station. Practice using radio broadcasting and digital audio equipment. Walk away with a final demo tape and the skill set to make more.",Arts: Performing & Visual,Benson High School,Confirmed - Final
Art Camp: Draw & Sketch,06/01/2019,3212,7,8,"Use pencil and ink, charcoal and markers and create portraits of animals, people and other subjects. Techniques for shading, contouring and perspective will be introduced with step-by-step instructions. Create a final piece of art to share with family and friends!",Arts: Performing & Visual,Central Catholic High School,Confirmed - Final
Comic Book Camp (6-8),06/01/2019,31112,12,14,"Use your ideas about heroes and making the world a better place as inspiration for your own comic! Utilize both writing and drawing skills to tell unique, interesting, and personal stories in your very own graphic novel. Comic storytelling combines both writing and drawing to tell tales that span every conceivable genre. Employ the techniques of professional cartoonists to tell own your story, from narrative development to layout, penciling, inking, coloring, and lettering a final product. You will improve your ability to tell a clear story by designing pages that engage readers and communicate effectively. Incorporate math into your project through 2D and 3D perspectives.",Arts: Performing & Visual,Central Catholic High School,Confirmed - Final
Creating a Comic Book & Graphic Novel (11-12),06/01/2019,179,9,10,"Create your own comic book or graphic novel. Learn the basic techniques of graphic storytelling from storyboarding to penciling to inking. Develop your drawing skills with a focus on composition, expression, and lettering and explore various inking techniques using pens and brushes.",Arts: Performing & Visual,Portland State University,Confirmed - Final
Street Photography (9-12),06/01/2019,1812,14,18,Anyone can take a camera to the streets and click the shutter. But creating an engaging street photo that tells a story is an art form! Explore what makes a street photo interesting and how to set yourself up to capture candid decisive moments.,Arts: Performing & Visual,Portland State University,Confirmed - Final
Photography Camp : Empower Your Imagination (6-9),06/01/2019,3712,12,14,"Photography is a powerful way to discover and reflect the world around us. Learn the entire creative process from how to operate your camera, compose captivating photos, edit photos in the digital darkroom, and prepare your images for online sharing!",Arts: Performing & Visual,Portland State University,Confirmed - Final
Digital Photo Arts: Advanced Editing Camp (9-12),06/01/2019,31112,14,18,"Advance your photography skills using Photoshop and Lightroom. Explore cropping, layers, removing and adding objects to make the best photographs and create digital art composites. Work toward mastery of organization, file saving and printing processes in Lightroom.",Arts: Performing & Visual,Portland State University,Confirmed - Final
Digital Darkroom: Photo Editing Camp (9-12),07/01/2019,3712,14,18,Strengthen your photographic skills by learning the art of post-processing in the digital darkroom. Spend time each day making fresh photos around town. Then head into the digital darkroom to correct and enhance photos using Adobe Lightroom and Photoshop.,Arts: Performing & Visual,Portland State University,Confirmed - Final
Photography: Special Effects (9-12),07/01/2019,1912,14,18,Are you comfortable with the basics of photography such as light and composition? Are you curious how to make water look like silk or lights look like stars? Max out your camera's features to create stunning special effects in-camera!,Arts: Performing & Visual,Portland State University,Confirmed - Final
Stage Makeup 101: Special Effects (6-8),07/01/2019,1912,12,14,They all had makeup engineers distorting their appearance behind camera to create the face you saw on screen. Create characters and illusions while learning the basics of applying theatrical makeup.,Arts: Performing & Visual,Portland State University,Confirmed - Final
Stage Makeup 101: Special Effects (11-12),07/01/2019,1912,9,12,They all had makeup engineers distorting their appearance behind camera to create the face you saw on screen. Create characters and illusions while learning the basics of applying theatrical makeup.,Arts: Performing & Visual,Portland State University,Confirmed - Final
Photography: Exploring Portland (8-12),07/01/2019,1812,14,18,"Learn camera basics, composition, perspective, and light while shooting local attractions. Collaborate with classmates to choose the best photos for digital presentation or Instagram. Learn professional techniques for capturing an image and transforming it into a powerful photograph.",Arts: Performing & Visual,Portland State University,Confirmed - Final
Extended Camp,07/01/2019,120,7,9,TBD,Arts: Performing & Visual,University of Portland,Confirmed - Final
Electronic Music: Advanced (12-9),07/01/2019,209,11,14,"Graduate beyond Garageband Loops and move into professional music production software. Learn music theory for producers, synthesis, sampling automation, songwriting and more while working in Ableton Live. Write and record a brand new song of your own.",Arts: Performing & Visual,University of Portland,Confirmed - Final
Music & Audio for Filmmaking (8-10),07/01/2019,1912,12,16,"Sound and music are vital elements of a film's impact. Use GarageBand to add new twists to your favorite films with overlays of different music clips. Learn about the secret art of sound design, Foley, voice acting and more.",Arts: Performing & Visual,University of Portland,Confirmed - Final
Electronic Music (12-9),07/01/2019,209,11,14,"Compose music with GarageBand, a powerful and flexible program that lets you create any music you can imagine. Experiment with sampling, synthesizers, mixing, equalizing and more. Learn music theory and the history of electronic music and hip-hop. Release your musical creation online.",Arts: Performing & Visual,University of Portland,Confirmed - Final
Extended Camp,07/01/2019,120,12,14,After care,Arts: Performing & Visual,University of Portland,Confirmed - Final
Stage Makeup: Acting & Special Effects (6-8),07/01/2019,3612,12,14,"Bring your favorite characters alive for the stage. This class will use theatre, acting, cosplay, improvisation, stage combat and sound to create characters and illusions while learning the basics of applying theatrical makeup.",Arts: Performing & Visual,University of Portland,Confirmed - Final
The Art of Nature Camp: Drawing & Photography (11-6),08/10/2019,3312,10,12,"Spend a week capturing the beauty of nature--flowers, trees, rivers and more--on paper through drawing and photography. Experiment with various media to apply drawing fundamentals such as line, shape, and color. Explore photography basics including composition, perspective and light in this hands-on class!",Arts: Performing & Visual,University of Portland,Confirmed - Final
Create an Illustrated Storybook (2-3),08/10/2019,1612,12,14,"Learn the basic elements of story writing: character, dialogue, setting, plot and action. Write your story and use oil, pastel, watercolor or colored pencil to create illustrations to accompany your work. Create a one-of-a-kind storybook to share with friends and family.",Arts: Performing & Visual,Saturday Academy - Beaverton,Confirmed - Final
"Stories, Poetry and Social Justice",08/10/2019,1612,12,14,"Take a journey with Ed Edmo - a Shoshone-Bannock poet, playwright, performer, traditional storyteller, tour guide and lecturer ? through stories and photos of his life growing up in Celilo Falls on the Columbia River before it was flooded by the Dalles Dam. Explore your own stories and the intersections between environment, culture and social justice.",Arts: Performing & Visual,Portland Community College - Southeast Campus,Confirmed - Final
Comic Book & Graphic Novel (6-8),08/10/2019,179,12,14,"Use both writing and drawing skills to tell stories in your very own graphic novel. Learn techniques of professional cartoonists from narrative development to layout, penciling, inking, coloring, and lettering a final product. Communicate effectively in words and art.",Arts: Performing & Visual,Portland Community College - Southeast Campus,Confirmed - Final
Heroic Improv Camp (11-12),08/10/2019,3312,11,12,"Use your ideas about heroes and making the world a better place as inspiration for a show! Utilize writing, drawing, improvisation and movement to imagine and tell tales that span every conceivable genre. Explore theatrical improv techniques to translate action into a narrative and performance writing.",Arts: Performing & Visual,Portland Community College - Southeast Campus,Confirmed - Final
Acting for Young People (11-6),08/10/2019,1612,11,6,"Develop skills through theater games and improvisation. Build your confidence and increase concentration. Gain experience with movement, staging, voice and characterization in a supportive atmosphere. Explore your hidden talents.",Arts: Performing & Visual,MET (Muslim Educational Trust),Confirmed - Final
Extended Camp,08/10/2019,120,12,15,TBD,Arts: Performing & Visual,MET (Muslim Educational Trust),Confirmed - Final
Acting: Fractured Fairy Tales (11-12),08/10/2019,1612,15,16,"Take a modern twist on a classic fairy tale, add fun improvisation games and a pinch of comedy and you?ll notice improved communication, confidence and concentration. Practice your skills in scenes from ?fractured? fairy tales like the True Story of the Three Little Pigs. Build your hidden talents.",Arts: Performing & Visual,MET (Muslim Educational Trust),Confirmed - Final
Comic Book Camp (6-8),05/20/2019,31112,12,14,"Use your ideas about heroes and making the world a better place as inspiration for your own comic! Utilize both writing and drawing skills to tell unique, interesting, and personal stories in your very own graphic novel. Comic storytelling combines both writing and drawing to tell tales that span every conceivable genre. Employ the techniques of professional cartoonists to tell own your story, from narrative development to layout, penciling, inking, coloring, and lettering a final product. You will improve your ability to tell a clear story by designing pages that engage readers and communicate effectively. Incorporate math into your project through 2D and 3D perspectives.",Arts: Performing & Visual,MET (Muslim Educational Trust),Confirmed - Final
Extended Camp,05/20/2019,120,7,9,TBD,Arts: Performing & Visual,Portland Community College - Rock Creek,Confirmed - Final
The Art of Animals Camp: Drawing & Photography (11 - 6),05/20/2019,3312,10,12,"Spend a week capturing the nature of animals--including llamas, horses, and rabbits--on paper through drawing and photography. Study animal anatomy and experiment with various media to apply drawing fundamentals such as line, shape, and color. Explore photography basics including composition, perspective and light in this hands-on, on-the-farm class!",Arts: Performing & Visual,Portland Community College - Rock Creek,Confirmed - Final
Phonetics and Dialects for the Actor,05/20/2019,1812,10,12,Build a foundation of healthy vocal expression; learn the International Phonetic Alphabet as a common way to communicate specific sounds across all spoken languages; and learn and practice at least three stage dialects. Camp will culminate with performances of scenes and monologues in dialects.,Arts: Performing & Visual,Pacific University (Forest Grove),Confirmed - Final
Digital Videomaking,05/20/2019,3612,12,16,"Spend the week telling a story in film! Learn the language of film buy writing, filming and editing a short film in small groups. Participants will have access to cameras, lighting and editing equipment.",Arts: Performing & Visual,Pacific University (Forest Grove),Confirmed - Final
Animation Academy (7-12),05/20/2019,3712,12,16,"Harness the power of Adobe Animate®. Taught by a professional animator, students will learn both the technical aspects of the software, as well as the core fundamentals of animation to create their own short films just like the pros!",Arts: Performing & Visual; Computer Science & Technology,Portland State University,Confirmed - Final
Photography: Exploring Portland (6-8),05/20/2019,1812,12,14,"Learn camera basics, composition, perspective, and light while shooting local attractions. Collaborate with classmates to choose the best photos for digital presentation or Instagram. Learn professional techniques for capturing an image and transforming it into a powerful photograph.",Arts: Performing & Visual; Computer Science & Technology,Portland State University,Confirmed - Final
Digital Design: Textiles & More (9-12),05/20/2019,1812,14,16,"Explore the possibilities of art licensing and learn how to get your designs on fabric for clothing, homewares, paper products and a wide variety of other consumer products! Learn the tools and techniques to turn your creativity into life and walk away inspired to start designing!",Arts: Performing & Visual; Computer Science & Technology,Portland State University,Confirmed - Final
Digital Art & Graphic Design (6-8),05/20/2019,1812,12,14,"Computer drawing tablets act as an artist?s paintbrush to control the computer?s drawing and painting tools. Create art that reflects your own sense of humor and style. Combine high-tech drawing and design tools with painting, coloring and collage to create individual works of art.",Arts: Performing & Visual; Computer Science & Technology,University of Portland,Confirmed - Final
Stop Motion Animation (11-12),05/20/2019,1812,15,16,"Discover the unique storytelling possibilities of the grand-daddy of animation: stop motion! Explore different techniques from pixelation to clay animation to cut-out, and choose one to create your animated music video! Apply tools like animation and lighting to create a story from scratch.",Arts: Performing & Visual; Computer Science & Technology,University of Portland,Confirmed - Final
Stop Motion Animation (6-8),05/20/2019,1812,12,14,"Discover the unique storytelling possibilities of the grand-daddy of animation: stop motion! Explore different techniques from pixelation to clay animation to cut-out, and choose one to create your animated music video! From learning the basics of animation and lighting to refining your flow, discover the tools needed to create a finished animation from scratch. Follow what inspires you, share ideas and go all out in this professional hands-on introduction to stop-motion animation",Arts: Performing & Visual; Computer Science & Technology,University of Portland,Confirmed - Final
Stop Motion: Get Wired! (12-8),05/20/2019,1912,12,14,"Create your own fully movable wire puppet film star similar to Coraline! Build hands, feet and a head of painted clay. Design and create clothing, hair and skin or fur. Your finished character will stand on its own as a star in your own stop-motion animated film.",Arts: Performing & Visual; Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Stop Motion Animation (11-12),05/20/2019,1812,12,14,"Discover the unique storytelling possibilities of the grand-daddy of animation: stop motion! Explore different techniques from pixelation to clay animation to cut-out, and choose one to create your animated music video! Apply tools like animation and lighting to create a story from scratch.",Arts: Performing & Visual; Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Stop Motion Animation (11-12),05/20/2019,1812,15,16,"Discover the unique storytelling possibilities of the grand-daddy of animation: stop motion! Explore different techniques from pixelation to clay animation to cut-out, and choose one to create your animated music video! Apply tools like animation and lighting to create a story from scratch.",Arts: Performing & Visual; Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Digital Art & Graphic Design (6-8),05/20/2019,1812,12,14,"Computer drawing tablets act as an artist?s paintbrush to control the computer?s drawing and painting tools. Create art that reflects your own sense of humor and style. Combine high-tech drawing and design tools with painting, coloring and collage to create individual works of art.",Arts: Performing & Visual; Computer Science & Technology,German International School,Confirmed - Final
Animation Academy (7-12),05/20/2019,3712,13,16,"Harness the power of Adobe Animate®. Taught by a professional animator, students will learn both the technical aspects of the software, as well as the core fundamentals of animation to create their own short films just like the pros!",Arts: Performing & Visual; Computer Science & Technology,MET (Muslim Educational Trust),Confirmed - Final
Digital Art & Graphic Design (6-8),05/20/2019,1812,12,14,"Computer drawing tablets act as an artist?s paintbrush to control the computer?s drawing and painting tools. Create art that reflects your own sense of humor and style. Combine high-tech drawing and design tools with painting, coloring and collage to create individual works of art.",Arts: Performing & Visual; Computer Science & Technology,Portland Community College - Rock Creek,Confirmed - Final
Graphic Design: Publication Workshop,05/20/2019,3612,14,16,"From Thomas Paine?s ?Common Sense? to the diverse range of topics today, independently published zines have a rich history in American culture. Learn the basics of graphic design while creating and circulating your own zine.",Arts: Performing & Visual; Computer Science & Technology,Pacific University (Forest Grove),Confirmed - Final
Dreaming in VR: Immersive Technology,05/20/2019,3612,12,14,"Ever wanted to design a video game, create a world in virtual reality or animate 3D models? Learn the fundamentals of Unity (game engine software), basics of 3D modeling and animation, and how to create interactivity through intro level scripting.",Arts: Performing & Visual; Computer Science & Technology,Open Signal,Confirmed - Final
Producing Podcasts: Sound of Stories (9-12),05/20/2019,199,14,16,"Sound Up! Learn the fundamentals of podcasting as an independent producer: story ideation, writing for the ear, using your authentic voice, connecting with your audience, and pitching a podcast.",Arts: Performing & Visual; Computer Science & Technology; Writing,Portland State University,Confirmed - Final
Academic Summit,05/20/2019,12119,12,14,"Explore the challenges of the 21st century and draw on creative resolutions from science, engineering, technology, humanities and art. Meet experts on the cutting edge of gene-editing, energy storage, social justice, our place in space and the microscopic world. Simulate a Vulcan mind meld and make connections, identify challenges, ask questions and seek solutions through a week of hands-on learning.",Arts: Performing & Visual; Engineering & Robotics; Math; Science,University of Portland,Confirmed - Final
Curiosity Challenge (11-12),05/20/2019,12119,14,16,"Trace curious connections between science, engineering, technology and art and how creative new ideas take form. Follow your curiosity through botanical mysteries, famous characters, physics of energy storage and the tiny, microscopic world.",Arts: Performing & Visual; Engineering & Robotics; Science,University of Portland,Confirmed - Final
"The Art of Math: Escher, Fractals & the Golden Ratio (12-8)",05/20/2019,1712,12,14,"You don't need to be a math genius to use its power to advance your art. Turn mathematical patterns into mesmerizing line designs. Create op-art using circles, arcs and parabolic curves. Apply the golden ratio to draw perfectly proportioned works of art.",Arts: Performing & Visual; Math,University of Portland,Confirmed - Final
Character Drawing: Basic Geometry (12-8),05/20/2019,1812,12,14,"Learn elements of geometric drafting such as shape and scale. Build a face, body and accessories from the ground up. Explore the tools used by professional studios to create the characters in your favorite animated shows.",Arts: Performing & Visual; Math,University of Portland,Confirmed - Final
The Art of Math: From Fibonacci to 3D (2-11),05/20/2019,1712,7,15,Explore and design tessellations in the style of MC Escher and create captivating spiral art using the Fibonacci series. Make a mesmerizing mandala using the properties of symmetry and paint like Kandinsky using a compass to create circle art.,Arts: Performing & Visual; Math,University of Portland,Confirmed - Final
Character Drawing: Basic Geometry (12-8),05/20/2019,1812,12,14,"Learn elements of geometric drafting such as shape and scale. Build a face, body and accessories from the ground up. Explore the tools used by professional studios to create the characters in your favorite animated shows.",Arts: Performing & Visual; Math,Portland Community College - Southeast Campus,Confirmed - Final
Origami: Exploring Sonobe Variations (11-12),05/20/2019,169,15,16,,Arts: Performing & Visual; Math,Portland Community College - Southeast Campus,Confirmed - Final
Origami: Exploring Sonobe Variations (6-8),05/20/2019,169,12,14,,Arts: Performing & Visual; Math,MET (Muslim Educational Trust),Confirmed - Final
Documentary Lens on River Cleanup,05/20/2019,11312,13,15,"Did you know the lower Willamette River is scheduled for a 13 year, $1 billion river clean-up? Have you heard of the pollutants PCBs, PAHs, dioxins/furans and DDT? Wade into river science and make a documentary film about current cleanup of the Willamette River. Interview the people who work to balance water use between people, industry and wildlife.",Arts: Performing & Visual; Science,University of Portland,Confirmed - Final
Documentary Lens on River Cleanup,05/20/2019,11312,12,15,"Did you know the lower Willamette River is scheduled for a 13 year, $1 billion river clean-up? Have you heard of the pollutants PCBs, PAHs, dioxins/furans and DDT? Wade into river science and make a documentary film about current cleanup of the Willamette River. Interview the people who work to balance water use between people, industry and wildlife.",Arts: Performing & Visual; Science,University of Portland,Confirmed - Final
The Art & Science of Birds (2-12),05/20/2019,1712,7,16,"Why do birds have different types of beaks, claws, songs or nests? How do they interact with their unique environment? Examine the anatomy, habitat and physical features of birds from falcons to hummingbirds and beyond. Log your observations into journals, drawings and a 3D sculpture.",Arts: Performing & Visual; Science; Writing,Portland Community College - Rock Creek,Confirmed - Final
Slam Poetry (9-12),05/20/2019,179,14,16,"Dig deep and find ways to translate your identity and experiences into poetry meant to be performed out loud. Explore what makes a poetry slam so electric?writing poems, workshopping to make poems fiercer and braver, and performing with style. Opt to perform for family and friends!",Arts: Performing & Visual; Writing,Portland State University,Confirmed - Final
Slam Poetry (6-8),05/20/2019,179,12,14,"Dig deep and find ways to translate your identity and experiences into poetry that is designed to be performed out loud. Explore what makes a poetry slam such an electric format--writing poems, workshopping with classmates to make poems fiercer and braver, and performing with style in front of others. Opt to perform your piece in front of family and friends!",Arts: Performing & Visual; Writing,Portland State University,Confirmed - Final
The Art of the Short Play (10 - 12),05/20/2019,1812,14,16,"This camp is recommended for aspiring playwrights. For the first three days, we will examine and discuss some distinctive 10-minute plays, then proceed to our own writing, informed by the styles and structures of those we have read. The final days of class will be dedicated to active revision and work-shopping of our new plays. Each student should end the week with a strong, polished new piece.",Arts: Performing & Visual; Writing,Pacific University (Forest Grove),Confirmed - Final
SAT Prep: Young Women's Intensive (9-12),05/20/2019,11119,14,16,"Learn powerful test-taking techniques and strategies for improving your score. High scores on the SAT can help with admittance to the college of your choice and increase the size of potential scholarships. This class will prepare you for the three sections of the SAT: math, critical reading and writing. Find more information online about class content.",College Prep & Study Skills,St. Mary?s Academy,Confirmed - Final
PSAT Prep (8-11),05/20/2019,229,13,15,Maximize your scoring potential by becoming familiar with the PSAT (Preliminary Scholastic Aptitude Test). High scores can win you scholarships and qualify you for the National Merit Scholar Program. Learn strategies for general test taking as well as for approaching specific types of questions found in both the math and reading parts of the test. Take practice tests and review your answers in a team environment.,College Prep & Study Skills,Portland State University,Confirmed - Final
ACT Prep (9-12),05/20/2019,3119,14,16,"The ACT is a widely accepted college entrance exam that closely reflects what students have studied through the end of junior year of high school. It is often used to determine scholarship awards. This class will prepare you for the math, English, reading and writing portions of the test.",College Prep & Study Skills,Portland State University,Confirmed - Final
SAT Prep (9-12),05/20/2019,11119,14,16,"Learn powerful test-taking techniques and strategies for improving your score. High scores on the SAT can help with admittance to the college of your choice and increase the size of potential scholarships. Get ready for the three sections of the SAT: math, critical reading and writing.",College Prep & Study Skills,Portland State University,Confirmed - Final
Organization Toolkit (9-12),05/20/2019,1212,14,16,"Decrease stress and increase productivity with useful techniques you can easily incorporate into your busy life. Gain skills for time and project management, goal setting, organization and calendaring. Learn how to complete the must-do?s and create space for the want-to-do?s.",College Prep & Study Skills,Portland State University,Confirmed - Final
Your College Coach (11-12),05/20/2019,189,15,16,"Get the inside scoop before you apply, from choosing the right school for you, to application preparation steps (tests, essays and more), to the applications themselves--even creating a plan for funding college. Get useful materials such as application timelines, essay writing tips, scholarship resources and more! Let?s go to college!",College Prep & Study Skills,Portland State University,Confirmed - Final
SAT: Math Help (9-12),05/20/2019,2312,14,16,"Focus on the math concepts that are the basis for the problems in the SAT test. Review the types of problems you will encounter in the SAT math section: algebra, problem solving and data analysis, advanced math using equations, and geometry and trigonometry.",College Prep & Study Skills,Portland State University,Confirmed - Final
Study Skills (6-8),05/20/2019,1812,12,14,"Make the best use of your study time. Learn neuroscience-based techniques for studying more effectively, including note-taking, memorization and problem-solving. Explore new ways to approach analytical projects and practice techniques for test-taking and managing stress.",College Prep & Study Skills,Portland State University,Confirmed - Final
SAT Prep (9-12),05/20/2019,11119,14,16,"Learn powerful test-taking techniques and strategies for improving your score. High scores on the SAT can help with admittance to the college of your choice and increase the size of potential scholarships. Get ready for the three sections of the SAT: math, critical reading and writing.",College Prep & Study Skills,Portland State University,Confirmed - Final
Organization Toolkit (6-8),05/20/2019,1212,12,14,"Decrease stress and increase productivity with useful techniques you can easily incorporate into your busy life. Gain skills for time and project management, goal setting, organization and calendaring. Learn how to complete the must-do?s and create space for the want-to-do?s.",College Prep & Study Skills,Portland State University,Confirmed - Final
